_id,id,category,cost_price,created_at,date,invoice_no,name,notes,qty,sku,supplier,total_cost,unit,item_id,item_name,item_sku,_migrated_at,_migrated_from
"6a89a24d3fb8c43ecce7bf39","in_1785942932899","","0","2026-08-05T15:15:32.899Z","05-08-2026","","","","500","","","0","pcs","stk_104","1000ml Container","J104","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24d3fb8c43ecce7bf3a","in_1785942956169","","0","2026-08-05T15:15:56.169Z","05-08-2026","","","","500","","","0","pcs","stk_105","750ml Silver Container","J105","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24d3fb8c43ecce7bf3b","in_1785942972849","","0","2026-08-05T15:16:12.849Z","05-08-2026","","","","500","","","0","pcs","stk_106","750ml Container","J106","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24d3fb8c43ecce7bf3c","in_1785942986785","","0","2026-08-05T15:16:26.785Z","05-08-2026","","","","150","","","0","pcs","stk_107","500ml Container","J107","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24d3fb8c43ecce7bf3d","in_1785943012719","","0","2026-08-05T15:16:52.719Z","05-08-2026","","","","10","","","0","packet","stk_111","16x20 Carry Bag","J111","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24d3fb8c43ecce7bf3e","in_1785943030001","","0","2026-08-05T15:17:10.001Z","05-08-2026","","","","10","","","0","packet","stk_112","13x16 Carry Bag","J112","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24d3fb8c43ecce7bf3f","in_1785943055940","","0","2026-08-05T15:17:35.940Z","05-08-2026","","","","250","","","0","kg","stk_113","Rubber Band Small (Gardar)","J113","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24d3fb8c43ecce7bf40","in_1785943090313","","0","2026-08-05T15:18:10.314Z","05-08-2026","","","","250","","","0","kg","stk_114","Rubber Band Big (Gardar)","J114","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24d3fb8c43ecce7bf41","in_1785943148535","","0","2026-08-05T15:19:08.535Z","05-08-2026","","","","0.25","","","0","kg","stk_113","Rubber Band Small (Gardar)","J113","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24d3fb8c43ecce7bf42","in_1785943160330","","0","2026-08-05T15:19:20.330Z","05-08-2026","","","","0.25","","","0","kg","stk_114","Rubber Band Big (Gardar)","J114","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
"6a89a24d3fb8c43ecce7bf43","in_1785943176084","","0","2026-08-05T15:19:36.084Z","05-08-2026","","","","2","","","0","pcs","stk_115","Cling Wrap (Clean Tape)","J115","""2026-08-22T13:49:21.913Z""","""public"".""stock_in"""
